"filename", "language", "JSON", "YAML", "Markdown", "Dart", "Properties", "Groovy", "Swift", "XML", "C++", "HTML", "comment", "blank", "total"
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/add_pet_steps/add_pet_segment_progress_bar.dart", "Dart", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 4, 43
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/add_pet_steps/add_pet_step1_name.dart", "Dart", 0, 0, 0, 216, 0, 0, 0, 0, 0, 0, 0, 12, 228
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/add_pet_steps/add_pet_step2_birthday.dart", "Dart", 0, 0, 0, 240, 0, 0, 0, 0, 0, 0, 3, 11, 254
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/add_pet_steps/add_pet_step3_gender.dart", "Dart", 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 1, 9, 200
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/add_pet_steps/add_pet_step4_breed.dart", "Dart", 0, 0, 0, 320, 0, 0, 0, 0, 0, 0, 5, 16, 341
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/add_pet_steps/add_pet_step5_avatar.dart", "Dart", 0, 0, 0, 252, 0, 0, 0, 0, 0, 0, 0, 20, 272
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/add_pet_steps/dogs_breed_data.dart", "Dart", 0, 0, 0, 453, 0, 0, 0, 0, 0, 0, 0, 2, 455
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/bar_graph/bar_data.dart", "Dart", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 1, 5, 97
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/bar_graph/bar_graph.dart", "Dart", 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 11, 10, 150
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/bar_graph/get_daily_bootom_titles.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/bar_graph/get_monthly_bootom_titles.dart", "Dart", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/bar_graph/get_weakly_bootom_titles.dart", "Dart", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 4, 62
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/bar_graph/get_yerly_titles.dart", "Dart", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 5, 88
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/bar_graph/individual_bar.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/bar_graph/mood_bar_graph/calculate_daily_moods.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 7, 33
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/bar_graph/mood_bar_graph/calculate_monthly_moods.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/bar_graph/mood_bar_graph/calculate_weekly_moods.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/bar_graph/mood_bar_graph/calculate_yearly_moods.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/bar_graph/walks_bar_graph/calculate_daily_walks.dart", "Dart", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 6, 7, 36
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/bar_graph/walks_bar_graph/calculate_monthly_walks.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 7, 8, 40
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/bar_graph/walks_bar_graph/calculate_weekly_walks.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 7, 8, 39
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/bar_graph/walks_bar_graph/calculate_yearly_walks.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 5, 26
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_care/event_care.dart", "Dart", 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 10, 162
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_care/event_type_card_care.dart", "Dart", 0, 0, 0, 372, 0, 0, 0, 0, 0, 0, 0, 9, 381
"/Users/patrykkrzemien/Documents/GitHub/pupil_app/lib/src/components/events/event_food/event_water.dart", "Dart", 0, 0, 0, 270, 0, 0, 0, 0, 0, 0, 0, 14, 284
